City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cam Ranh,VN,76.96,light rain,11.9214,109.1591,OYO 598 Peony Hotel
7,Ribeira Grande,PT,72.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
8,Fort Smith,US,81.18,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
10,Puerto Ayora,EC,71.91,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Ahmadpur,IN,72.95,heavy intensity rain,18.7,76.9333,Hengane (Pitashri Niwas)
17,Jakarta,ID,83.52,few clouds,-6.2146,106.8451,HARRIS Hotel Tebet
25,Lagoa,PT,71.02,overcast clouds,39.05,-27.9833,Casa Das Faias
26,Muisne,EC,77.63,overcast clouds,0.6,-80.0333,Quinta Samay
27,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
29,Kapaa,US,77.32,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Odienne,CI,79.93,light rain,9.51,-7.5692,Oustaz Vame DIAKITE
32,Khandbari,NP,70.97,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
33,Guilin,CN,77.11,clear sky,25.2819,110.2864,Grand 0773 Hotel
34,Valdepenas,ES,72.37,overcast clouds,38.7621,-3.3848,Hotel Veracruz Plaza & Spa
36,Rikitea,PF,74.3,broken clouds,-23.1203,-134.9692,People ThankYou
37,Naze,JP,77.41,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
38,Nantucket,US,75.31,overcast clouds,41.2835,-70.0995,Jared Coffin House
44,Pecos,US,80.69,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
48,Bubaque,GW,82.06,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
49,Frontera,MX,77.95,broken clouds,26.9333,-101.45,Casagrande Hotel
52,Saint-Pierre,RE,71.28,few clouds,-21.3393,55.4781,Lindsey Hôtel
53,Hithadhoo,MV,82.62,broken clouds,-0.6,73.0833,Scoop Guest House
56,Albany,US,75.15,broken clouds,42.6001,-73.9662,
58,Paita,PE,73.96,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
60,Chokwe,MZ,75.2,clear sky,-24.5333,32.9833,Complexo Sonho Real
