City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,77.484,-69.3632,22.89,71,100,7.83,overcast clouds
1,Tasiilaq,GL,65.6145,-37.6368,41.16,73,100,2.15,overcast clouds
2,Cam Ranh,VN,11.9214,109.1591,76.96,94,40,3.44,light rain
3,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,8.05,broken clouds
4,Punta Arenas,CL,-53.15,-70.9167,44.71,49,75,21.85,broken clouds
5,New Norfolk,AU,-42.7826,147.0587,40.5,76,20,3.04,few clouds
6,Jamestown,US,42.097,-79.2353,68.72,61,1,11.01,clear sky
7,Ribeira Grande,PT,38.5167,-28.7,72.0,88,75,8.05,broken clouds
8,Fort Smith,US,35.3859,-94.3986,81.18,44,1,8.05,clear sky
9,Lavrentiya,RU,65.5833,-171.0,30.2,86,100,10.07,overcast clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,71.91,83,94,10.11,overcast clouds
11,Kodiak,US,57.79,-152.4072,29.71,80,75,6.91,broken clouds
12,Vestmannaeyjar,IS,63.4427,-20.2734,41.99,81,90,16.11,overcast clouds
13,Port Alfred,ZA,-33.5906,26.891,64.89,75,98,8.55,overcast clouds
14,Edson,CA,53.5835,-116.4356,57.34,58,90,3.44,overcast clouds
15,Margate,GB,51.3813,1.3862,67.86,78,92,8.12,overcast clouds
16,Ahmadpur,IN,18.7,76.9333,72.95,94,100,5.7,heavy intensity rain
17,Jakarta,ID,-6.2146,106.8451,83.52,80,22,5.39,few clouds
18,Okhotsk,RU,59.3833,143.3,44.6,66,72,10.0,broken clouds
19,Srednekolymsk,RU,67.45,153.6833,31.1,96,100,14.07,light snow
20,Pevek,RU,69.7008,170.3133,30.43,96,100,16.8,light snow
21,Awbari,LY,26.5921,12.7805,87.06,27,0,4.92,clear sky
22,Mehamn,NO,71.0357,27.8492,44.55,81,0,2.3,clear sky
23,Rumoi,JP,43.9344,141.6428,51.55,83,47,5.32,scattered clouds
24,Torbay,CA,47.6666,-52.7314,58.28,69,75,13.8,broken clouds
25,Lagoa,PT,39.05,-27.9833,71.02,83,100,12.82,overcast clouds
26,Muisne,EC,0.6,-80.0333,77.63,81,92,8.3,overcast clouds
27,Avarua,CK,-21.2078,-159.775,77.05,73,75,12.66,broken clouds
28,Eltham,NZ,-39.4292,174.3,54.18,90,94,5.53,overcast clouds
29,Kapaa,US,22.0752,-159.319,77.32,78,75,1.01,light rain
30,Odienne,CI,9.51,-7.5692,79.93,82,100,2.95,light rain
31,Rio Gallegos,AR,-51.6226,-69.2181,50.05,32,75,17.27,broken clouds
32,Khandbari,NP,27.3747,87.2039,70.97,90,81,1.92,broken clouds
33,Guilin,CN,25.2819,110.2864,77.11,78,0,0.69,clear sky
34,Valdepenas,ES,38.7621,-3.3848,72.37,40,99,12.01,overcast clouds
35,Cape Town,ZA,-33.9258,18.4232,62.28,79,0,16.11,clear sky
36,Rikitea,PF,-23.1203,-134.9692,74.3,73,52,15.73,broken clouds
37,Naze,JP,28.3667,129.4833,77.41,85,44,8.84,scattered clouds
38,Nantucket,US,41.2835,-70.0995,75.31,83,90,6.91,overcast clouds
39,Sur,OM,22.5667,59.5289,88.14,58,68,10.22,broken clouds
40,Kaitangata,NZ,-46.2817,169.8464,37.99,86,23,8.72,few clouds
41,Barcelos,PT,41.5388,-8.6151,68.14,84,46,7.81,scattered clouds
42,Sosua,DO,19.7667,-70.5167,94.23,79,20,11.5,few clouds
43,Barrow,US,71.2906,-156.7887,24.82,80,90,4.61,overcast clouds
44,Pecos,US,31.4229,-103.4932,80.69,29,1,8.05,clear sky
45,Mataura,NZ,-46.1927,168.8643,39.47,97,78,5.06,broken clouds
46,Evensk,RU,61.95,159.2333,41.31,89,100,1.12,overcast clouds
47,Busselton,AU,-33.65,115.3333,55.04,69,94,8.5,overcast clouds
48,Bubaque,GW,11.2833,-15.8333,82.06,75,35,7.43,scattered clouds
49,Frontera,MX,26.9333,-101.45,77.95,61,51,5.97,broken clouds
50,Hermanus,ZA,-34.4187,19.2345,62.8,72,42,15.19,scattered clouds
51,Ust-Kulom,RU,61.6864,53.6902,46.71,89,100,10.8,overcast clouds
52,Saint-Pierre,RE,-21.3393,55.4781,71.28,73,20,21.85,few clouds
53,Hithadhoo,MV,-0.6,73.0833,82.62,76,84,11.41,broken clouds
54,Bredasdorp,ZA,-34.5322,20.0403,62.28,54,69,11.79,broken clouds
55,Cherskiy,RU,68.75,161.3,30.76,98,100,11.12,light snow
56,Albany,US,42.6001,-73.9662,75.15,60,77,1.01,broken clouds
57,Namibe,AO,-15.1961,12.1522,65.41,86,36,7.0,scattered clouds
58,Paita,PE,-5.0892,-81.1144,73.96,70,73,14.5,broken clouds
59,Hobart,AU,-42.8794,147.3294,40.86,85,18,1.01,few clouds
60,Chokwe,MZ,-24.5333,32.9833,75.2,47,0,10.09,clear sky
61,Ostrovnoy,RU,68.0531,39.5131,43.84,91,66,10.31,broken clouds
62,Ushuaia,AR,-54.8,-68.3,44.26,61,40,13.8,scattered clouds
63,Provideniya,RU,64.3833,-173.3,29.77,83,100,5.93,overcast clouds
64,Padang,ID,-0.9492,100.3543,77.05,89,99,1.86,overcast clouds
65,Chokurdakh,RU,70.6333,147.9167,32.59,98,100,12.06,overcast clouds
66,Coos Bay,US,43.3665,-124.2179,54.23,97,90,3.44,mist
67,Coihaique,CL,-45.5752,-72.0662,54.21,57,75,10.36,broken clouds
68,Carroll,US,39.5501,-77.0164,75.65,51,1,4.0,clear sky
69,Butaritari,KI,3.0707,172.7902,82.6,76,56,9.73,broken clouds
70,Bluff,NZ,-46.6,168.3333,39.79,66,58,18.59,light rain
71,Kamina,CD,-8.7386,24.9906,76.05,26,14,4.23,few clouds
72,Pisco,PE,-13.7,-76.2167,68.05,73,0,9.22,clear sky
73,Khatanga,RU,71.9667,102.5,29.98,88,99,10.78,overcast clouds
74,Sitka,US,57.0531,-135.33,48.09,81,75,0.0,light rain
75,Lianzhou,CN,24.7811,112.3825,77.77,79,10,0.98,clear sky
76,Klaksvik,FO,62.2266,-6.589,52.72,95,100,25.3,overcast clouds
77,Shiyan,CN,32.6475,110.7781,68.43,96,100,4.7,light rain
78,Concepcion Del Oro,MX,24.6333,-101.4167,70.81,46,11,4.38,few clouds
79,Isangel,VU,-19.55,169.2667,68.29,79,85,9.51,overcast clouds
80,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,64,0,18.41,clear sky
