City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Patricio,US,2021-09-23 01:19:54,28.017,-97.5169,81.84,33,6,7.27
1,Rincon,US,2021-09-23 01:21:11,32.296,-81.2354,77.86,98,75,5.75
2,East London,ZA,2021-09-23 01:21:33,-33.0153,27.9116,60.73,76,100,18.7
3,Ushuaia,AR,2021-09-23 01:21:33,-54.8,-68.3,38.86,87,20,0.0
4,Geraldton,AU,2021-09-23 01:21:34,-28.7667,114.6,72.01,33,0,14.97
5,Taltal,CL,2021-09-23 01:21:34,-25.4,-70.4833,60.04,65,0,3.98
6,Ha Tinh,VN,2021-09-23 01:18:08,18.3333,105.9,79.83,84,46,4.47
7,Butaritari,KI,2021-09-23 01:18:05,3.0707,172.7902,83.01,66,98,12.77
8,Mahebourg,MU,2021-09-23 01:17:59,-20.4081,57.7,70.09,78,75,10.36
9,Rapid Valley,US,2021-09-23 01:21:35,44.0625,-103.1463,73.0,25,1,12.66
10,Kapaa,US,2021-09-23 01:21:36,22.0752,-159.319,84.18,70,20,4.0
11,Dingle,PH,2021-09-23 01:21:36,10.9995,122.6711,82.54,77,100,1.28
12,Olafsvik,IS,2021-09-23 01:21:37,64.8945,-23.7142,42.13,61,6,3.56
13,Qaanaaq,GL,2021-09-23 01:21:37,77.484,-69.3632,11.5,57,7,7.83
14,Sao Filipe,CV,2021-09-23 01:18:47,14.8961,-24.4956,78.93,80,24,4.88
15,Oliveira Dos Brejinhos,BR,2021-09-23 01:21:38,-12.3169,-42.8961,82.33,26,39,3.11
16,Puerto Escondido,MX,2021-09-23 01:21:38,15.85,-97.0667,85.03,61,75,0.0
17,Ponta Do Sol,PT,2021-09-23 01:21:38,32.6667,-17.1,70.72,65,100,4.56
18,Hambantota,LK,2021-09-23 01:17:10,6.1241,81.1185,79.93,81,6,13.87
19,Hermanus,ZA,2021-09-23 01:21:39,-34.4187,19.2345,56.8,55,6,6.13
20,Mar Del Plata,AR,2021-09-23 01:21:39,-38.0023,-57.5575,53.62,82,90,9.22
21,Tasiilaq,GL,2021-09-23 01:18:14,65.6145,-37.6368,32.16,70,48,6.35
22,Aldan,RU,2021-09-23 01:21:40,58.6031,125.3894,40.35,95,100,3.49
23,Tiksi,RU,2021-09-23 01:21:41,71.6872,128.8694,39.74,67,100,3.78
